"m","generating_matrix","n1","n2","n3","search_type"
7,"1, 4, 11, 16, 23, 35, 42",0,0,3,"iterative search with complete Sigma-pattern comparison"
8,"1, 4, 11, 16, 21, 26, 35, 41",0,0,6,"iterative search with complete Sigma-pattern comparison"
9,"1, 4, 11, 16, 21, 26, 35, 38, 41",0,0,9,"iterative search with complete Sigma-pattern comparison"
10,"1, 4, 11, 14, 16, 21, 26, 35, 38, 41",0,0,15,"iterative search with complete Sigma-pattern comparison"
11,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41",0,0,21,"iterative search with complete Sigma-pattern comparison"
12,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41, 44",0,0,28,"iterative search with complete Sigma-pattern comparison"
13,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41, 44, 50",0,0,40,"iterative search with complete Sigma-pattern comparison"
14,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41, 44, 50, 55",0,0,52,"iterative search with complete Sigma-pattern comparison"
15,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41, 44, 50, 55, 56",0,0,65,"iterative search with complete Sigma-pattern comparison"
16,"1, 4, 11, 14, 16, 21, 26, 31, 35, 38, 41, 44, 50, 55, 56, 61",0,0,80,"iterative search with complete Sigma-pattern comparison"
